# Motion State    
# Angle Units     : degrees
# Time            	centreOfRotation	centreOfMass	rotation	velocity	omega
0.00037687        	(2.5000000000e-01 7.0001856414e-03 1.2500000000e-01)	(4.9745611451e-01 -1.6772545741e-02 1.2500000000e-01)	(0.0000000000e+00 0.0000000000e+00 -5.5277358335e+00)	(0.0000000000e+00 7.0299354396e-04 0.0000000000e+00)	(0.0000000000e+00 0.0000000000e+00 -3.3117963081e+01)
0.000399512       	(2.5000000000e-01 7.0002018370e-03 1.2500000000e-01)	(4.9745580331e-01 -1.6775768695e-02 1.2500000000e-01)	(0.0000000000e+00 0.0000000000e+00 -5.5284858238e+00)	(0.0000000000e+00 7.2755558594e-04 0.0000000000e+00)	(0.0000000000e+00 0.0000000000e+00 -3.3127814339e+01)
0.000422155       	(2.5000000000e-01 7.0002185890e-03 1.2500000000e-01)	(4.9745549197e-01 -1.6778992051e-02 1.2500000000e-01)	(0.0000000000e+00 0.0000000000e+00 -5.5292360372e+00)	(0.0000000000e+00 7.5212951592e-04 0.0000000000e+00)	(0.0000000000e+00 0.0000000000e+00 -3.3137662850e+01)
0.000444798       	(2.5000000000e-01 7.0002358975e-03 1.2500000000e-01)	(4.9745518050e-01 -1.6782215810e-02 1.2500000000e-01)	(0.0000000000e+00 0.0000000000e+00 -5.5299864735e+00)	(0.0000000000e+00 7.7671642702e-04 0.0000000000e+00)	(0.0000000000e+00 0.0000000000e+00 -3.3147507896e+01)
0.00046744        	(2.5000000000e-01 7.0002537628e-03 1.2500000000e-01)	(4.9745486889e-01 -1.6785439970e-02 1.2500000000e-01)	(0.0000000000e+00 0.0000000000e+00 -5.5307371326e+00)	(0.0000000000e+00 8.0132167131e-04 0.0000000000e+00)	(0.0000000000e+00 0.0000000000e+00 -3.3157348581e+01)
0.000490083       	(2.5000000000e-01 7.0002721856e-03 1.2500000000e-01)	(4.9745455715e-01 -1.6788664531e-02 1.2500000000e-01)	(0.0000000000e+00 0.0000000000e+00 -5.5314880146e+00)	(0.0000000000e+00 8.2595110948e-04 0.0000000000e+00)	(0.0000000000e+00 0.0000000000e+00 -3.3167184122e+01)
0.000512726       	(2.5000000000e-01 7.0002911663e-03 1.2500000000e-01)	(4.9745424528e-01 -1.6791889491e-02 1.2500000000e-01)	(0.0000000000e+00 0.0000000000e+00 -5.5322391192e+00)	(0.0000000000e+00 8.5060922472e-04 0.0000000000e+00)	(0.0000000000e+00 0.0000000000e+00 -3.3177013944e+01)
0.000535368       	(2.5000000000e-01 7.0003107057e-03 1.2500000000e-01)	(4.9745393326e-01 -1.6795114850e-02 1.2500000000e-01)	(0.0000000000e+00 0.0000000000e+00 -5.5329904463e+00)	(0.0000000000e+00 8.7529876738e-04 0.0000000000e+00)	(0.0000000000e+00 0.0000000000e+00 -3.3186837727e+01)
0.000558011       	(2.5000000000e-01 7.0003308045e-03 1.2500000000e-01)	(4.9745362112e-01 -1.6798340605e-02 1.2500000000e-01)	(0.0000000000e+00 0.0000000000e+00 -5.5337419957e+00)	(0.0000000000e+00 9.0002091389e-04 0.0000000000e+00)	(0.0000000000e+00 0.0000000000e+00 -3.3196655348e+01)
0.000580654       	(2.5000000000e-01 7.0003514634e-03 1.2500000000e-01)	(4.9745330884e-01 -1.6801566757e-02 1.2500000000e-01)	(0.0000000000e+00 0.0000000000e+00 -5.5344937674e+00)	(0.0000000000e+00 9.2477557523e-04 0.0000000000e+00)	(0.0000000000e+00 0.0000000000e+00 -3.3206466808e+01)
0.000603296       	(2.5000000000e-01 7.0003726832e-03 1.2500000000e-01)	(4.9745299642e-01 -1.6804793302e-02 1.2500000000e-01)	(0.0000000000e+00 0.0000000000e+00 -5.5352457612e+00)	(0.0000000000e+00 9.4956198917e-04 0.0000000000e+00)	(0.0000000000e+00 0.0000000000e+00 -3.3216272255e+01)
0.000625939       	(2.5000000000e-01 7.0003944646e-03 1.2500000000e-01)	(4.9745268387e-01 -1.6808020240e-02 1.2500000000e-01)	(0.0000000000e+00 0.0000000000e+00 -5.5359979769e+00)	(0.0000000000e+00 9.7437898898e-04 0.0000000000e+00)	(0.0000000000e+00 0.0000000000e+00 -3.3226071925e+01)
0.000648581       	(2.5000000000e-01 7.0004168083e-03 1.2500000000e-01)	(4.9745237118e-01 -1.6811247570e-02 1.2500000000e-01)	(0.0000000000e+00 0.0000000000e+00 -5.5367504145e+00)	(0.0000000000e+00 9.9922525905e-04 0.0000000000e+00)	(0.0000000000e+00 0.0000000000e+00 -3.3235866053e+01)
0.000671224       	(2.5000000000e-01 7.0004397149e-03 1.2500000000e-01)	(4.9745205836e-01 -1.6814475290e-02 1.2500000000e-01)	(0.0000000000e+00 0.0000000000e+00 -5.5375030738e+00)	(0.0000000000e+00 1.0240993345e-03 0.0000000000e+00)	(0.0000000000e+00 0.0000000000e+00 -3.3245654863e+01)
0.000693867       	(2.5000000000e-01 7.0004631850e-03 1.2500000000e-01)	(4.9745174541e-01 -1.6817703400e-02 1.2500000000e-01)	(0.0000000000e+00 0.0000000000e+00 -5.5382559546e+00)	(0.0000000000e+00 1.0489997406e-03 0.0000000000e+00)	(0.0000000000e+00 0.0000000000e+00 -3.3255438574e+01)
0.000716509       	(2.5000000000e-01 7.0004872191e-03 1.2500000000e-01)	(4.9745143232e-01 -1.6820931898e-02 1.2500000000e-01)	(0.0000000000e+00 0.0000000000e+00 -5.5390090569e+00)	(0.0000000000e+00 1.0739251742e-03 0.0000000000e+00)	(0.0000000000e+00 0.0000000000e+00 -3.3265217384e+01)
0.000739152       	(2.5000000000e-01 7.0005118180e-03 1.2500000000e-01)	(4.9745111909e-01 -1.6824160783e-02 1.2500000000e-01)	(0.0000000000e+00 0.0000000000e+00 -5.5397623806e+00)	(0.0000000000e+00 1.0988746487e-03 0.0000000000e+00)	(0.0000000000e+00 0.0000000000e+00 -3.3274991469e+01)
0.000761795       	(2.5000000000e-01 7.0005369820e-03 1.2500000000e-01)	(4.9745080573e-01 -1.6827390054e-02 1.2500000000e-01)	(0.0000000000e+00 0.0000000000e+00 -5.5405159255e+00)	(0.0000000000e+00 1.1238474200e-03 0.0000000000e+00)	(0.0000000000e+00 0.0000000000e+00 -3.3284760962e+01)
0.000784437       	(2.5000000000e-01 7.0005627118e-03 1.2500000000e-01)	(4.9745049224e-01 -1.6830619711e-02 1.2500000000e-01)	(0.0000000000e+00 0.0000000000e+00 -5.5412696916e+00)	(0.0000000000e+00 1.1488429234e-03 0.0000000000e+00)	(0.0000000000e+00 0.0000000000e+00 -3.3294525945e+01)
0.00080708        	(2.5000000000e-01 7.0005890078e-03 1.2500000000e-01)	(4.9745017861e-01 -1.6833849752e-02 1.2500000000e-01)	(0.0000000000e+00 0.0000000000e+00 -5.5420236788e+00)	(0.0000000000e+00 1.1738606622e-03 0.0000000000e+00)	(0.0000000000e+00 0.0000000000e+00 -3.3304286466e+01)
